family_name,ForAudioClassification,ForAudioFrameClassification,ForAudioTokenization,ForAudioXVector,ForCTC,ForCausalImageModeling,ForCausalLM,ForClassification,ForConditionalGeneration,ForContrastiveLearning,ForDepthEstimation,ForDocumentQuestionAnswering,ForEntityClassification,ForEntityPairClassification,ForEntitySpanClassification,ForGeneration,ForImageAndTextRetrieval,ForImageClassification,ForImageClassificationConvProcessing,ForImageClassificationFourier,ForImageClassificationLearned,ForImageClassificationWithTeacher,ForImageMatting,ForImageSegmentation,ForImageSuperResolution,ForImageTextRetrieval,ForImageTextToText,ForImageToImage,ForImagesAndTextClassification,ForInstanceSegmentation,ForKeypointDetection,ForKeypointMatching,ForMaskGeneration,ForMaskedImageModeling,ForMaskedLM,ForMultimodalAutoencoding,ForMultimodalLM,ForMultipleChoice,ForNextSentencePrediction,ForObjectDetection,ForOpticalFlow,ForPoseEstimation,ForPreTraining,ForPrediction,ForPredictionHead,ForPretraining,ForProteinFolding,ForProteinText2Text,ForQuestionAnswering,ForQuestionAnsweringHead,ForQuestionAnsweringSimple,ForRegionToPhraseAlignment,ForRegression,ForRetrieval,ForSceneTextRecognition,ForSegmentation,ForSemanticSegmentation,ForSeq2SeqLM,ForSequenceClassification,ForSpeechSeq2Seq,ForSpeechToSpeech,ForSpeechToText,ForTableQuestionAnswering,ForTableRecognition,ForTextEncoding,ForTextRecognition,ForTextToSpectrogram,ForTextToSpeech,ForTextToText,ForTextToWaveform,ForTimeSeriesClassification,ForTimeSeriesPrediction,ForTokenClassification,ForUniversalSegmentation,ForVideoClassification,ForVideoGrounding,ForVisionText2Text,ForVisualQuestionAnswering,ForVisualReasoning,ForXVector,ForZeroShotImageClassification,ForZeroShotObjectDetection
dinov3_convnext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dinov3_vit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distilbert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,
dit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doge,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
donut,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dots1,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpt,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
edgetam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edgetam_video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientloftr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efficientnet,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electra,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,
emu3,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encodec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
encoder_decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eomt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
eomt_dinov3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
ernie,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,
ernie4_5,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
